model	status	free_gb_after	seconds
qwen2.5:0.5b	OK	523	15
qwen2.5:1.5b	OK	522	34
qwen2.5-coder:0.5b	OK	521	35
qwen2.5-coder:1.5b	OK	520	34
qwen2.5-coder:3b	OK	519	65
qwen2:0.5b	OK	518	18
qwen2:1.5b	OK	517	33
qwen2:7b	OK	513	153
codeqwen:latest	OK	509	157
gemma3:1b	OK	509	29
gemma3:4b	OK	509	0
gemma2:2b	OK	507	55
gemma:2b	OK	506	57
gemma:7b	OK	501	162
codegemma:2b	OK	499	55
codegemma:7b	OK	495	159
llama3.2:1b	OK	494	48
llama3.2:3b	OK	492	68
llama3.1:8b	OK	487	160
tinyllama:latest	OK	486	28
codellama:7b	OK	483	166
phi3:3.8b	OK	481	76
phi3.5:latest	OK	479	75
phi:latest	OK	477	58
mistral:7b	OK	473	143
dolphin-mistral:7b	OK	469	134
openhermes:latest	OK	466	133
zephyr:7b	OK	462	135
neural-chat:latest	OK	458	147
openchat:latest	OK	454	134
wizardlm2:7b	OK	450	136
deepseek-coder:1.3b	OK	450	32
deepseek-coder:6.7b	OK	446	124
deepseek-r1:1.5b	OK	445	44
deepseek-r1:7b	OK	441	149
deepseek-r1:8b	OK	436	167
starcoder2:3b	OK	434	61
starcoder2:7b	OK	430	129
granite-code:3b	OK	429	88
granite-code:8b	OK	424	147
granite3.1-dense:2b	OK	423	57
granite3.1-dense:8b	OK	418	165
stablelm2:1.6b	OK	417	37
smollm2:1.7b	OK	416	66
orca-mini:3b	OK	414	70
yi:6b	OK	410	141
internlm2:latest	OK	406	161
hermes3:8b	OK	402	152
falcon3:3b	OK	400	71
falcon3:7b	OK	396	203
exaone3.5:2.4b	OK	394	85
exaone3.5:7.8b	OK	390	175
nemotron-mini:latest	OK	387	89
command-r7b:latest	OK	383	165
dolphin3:8b	OK	378	191
sqlcoder:7b	OK	374	132
